,text,user_id,score,hostel,location,link
10,"Very cozy hostel in the Heart of Alfama (That means some stairs to go up to reach it!). Friendly, helpfull Staff around the clock. As it is a member of a Group of three Hostels (The other ones are much bigger) there is a programme everyday (free walking tour, bbq, portoguese buffet, pub crawl, beach tour). Really enjoyed my stay.",3334761,9.7,Alfama Patio Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Alfama-Patio-Hostel/Lisbon/24771
11,"We enjoy the stay although only 1 night, enjoyable environment, free parking, wide choice of breakfast, and we particularly like the mature guy (seems like manager) who check with us where we will go during breakfast time and give us details info and directions and additional useful comment. He also give training to one of his staffs at the same time so they know how to advice travellers so we really can see the passion from the management.",4693321,8.0,Villa Saint Exupery Gardens,"Nice, France",http://www.hostelworld.com/hosteldetails.php/Villa-Saint-Exupery-Gardens/Nice/4734
12,"A very stylish and charming hostel and we particularly like the cafe. Staffs are very nice and patience although they have to keep on opening locked doors for travelers. The lady even provide me free coffee left from breakfast hours so made us feel very warm, though I finally prefer to pay for a cuppucino. Very close to station and all neccssity and got everything needed",4693321,8.3,Vertigo Centre,"Marseille, France",http://www.hostelworld.com/hosteldetails.php/Vertigo-Centre/Marseille/20103
13,"We enjoy our stay very much! We like the homely feel of the hostel, the big garden, so we could have breakfast under the sun (or under big umbrella when it rains). The kitchen is awesome and during peak hours you'll see cook from Hong Kong (us), Australia, Germany, Ireland, South Africa, etc, a totally ""world class"" kitchen. We particularly like the father who teach my wife how to use different utensils which is new to us. And one of their son is very helpful too (though the other son not so..)",4693321,8.3,Annecy Hostel,"Annecy, France",http://www.hostelworld.com/hosteldetails.php/Annecy-Hostel/Annecy/49650
14,No customer comment,4693321,8.3,St Christopher's Inn Canal,"Paris, France",http://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Canal/Paris/19865
15,Sentosa View may be the best hostel in Singapore. It was newly renovated and well equiped. The staff were very friendly. I would like to recommend it to all of you.,4693321,10.0,Sentosa View,"Singapore, Singapore",http://www.hostelworld.com/hosteldetails.php/Sentosa-View/Singapore/1011
16,"When we were first brought to the room we thought it'd be a nice hostel, until we were unexpectedly hit by cold water at the shower time after time. Hot water did return most of the time but being surprised by icy water when you are taking a shower is not cool. Such problem lasted for a total of 4 nights. We texted the staff about the issue but unfortunately we received no response. 

The location is undeniably unbeatable though!!",4879785,6.7,Kafka's Castle,"Prague, Czech Republic",http://www.hostelworld.com/hosteldetails.php/Kafka-s-Castle/Prague/19781
17,Amazingly large and clean rooms although the hostel itself is situated fairly far away from the city centre.,4879785,9.0,Venice Rooms,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Venice-Rooms/Venice/12666
18,"The staff is extremely helpful. Bathrooms are very clean. The hotel is also pretty close to the town centre, which makes up for the absence of a kitchen for backpackers.",4879785,9.3,Hostel Sampaoli,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/Hostel-Sampaoli/Florence/1155
19,"Very nice hostel, nice to do something different.  Staff very helpful.  Only problem is the size of the cabins, they are the size of coffins and makes it very difficult to fit two RTW backpacks in!!! Not a good option if you have packs over 60 litres!",3883738,6.7,Hostelboat Anna Maria II,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/Hostelboat-Anna-Maria-II/Amsterdam/9241
20,"Not a bad place to stay , big place ,but there are alot of school kids , good breakfast , male showers donï¿½t work properly , either boiling hot or freezing cold , the ones on level 2.",2333488,7.3,JUFA Salzburg City,"Salzburg, Austria",http://www.hostelworld.com/hosteldetails.php/JUFA-Salzburg-City/Salzburg/5670
21,"l highly recommend this hostel, the staff were brilliant , very clean and security was good.",2333488,10.0,The Vamhaz,"Budapest, Hungary",http://www.hostelworld.com/hosteldetails.php/The-Vamhaz/Budapest/13250
22,"On the hostel we ordered taxi to heatrow, and it stood in the information that it costed 31ï¿½. but We had to pay 41ï¿½. so you should fix the information!!!",4810042,7.7,Generator Hostel London,"London, England",http://www.hostelworld.com/hosteldetails.php/Generator-Hostel-London/London/510
23,"This Hostel is well worth it.  Not very expensive, incredibly clean, well run, friendly, and beautiful, it is in a beautiful, quaint city and is close to Sevilla.  I highly recommend it.",1751982,9.7,Hospederia Palacio Marques de las Torres,"Seville, Spain",http://www.hostelworld.com/hosteldetails.php/Hospederia-Palacio-Marques-de-las-Torres/Seville/9166
24,"I like it a lot, just needed a bit more of silence. The days when parties are allowed is quite impossible to sleep. All the other stuff is really nice.",2566174,9.0,Hostel Amigo,"Mexico City, Mexico",http://www.hostelworld.com/hosteldetails.php/Hostel-Amigo/Mexico-City/12614
25,No customer comment,2566174,9.7,Nomadas,"Merida, Mexico",http://www.hostelworld.com/hosteldetails.php/Nomadas/Merida/1240
26,"The staff were terricif. I especially found the Argentinian Guy on the late shits very helpful and friendly. 

Enjoyed my staff immensly and would definitely would stay again.
",2084775,9.0,Feetup Garden House Hostel,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Feetup-Garden-House-Hostel/Barcelona/1378
27,"Really enjoyed my stay here.

Found the staff to be Fantastic, in particular, the south Anerican guy who worked the evenings, was very friendly and helpful! 

Would stay here again.",2084775,8.7,Habana Home,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Habana-Home/Barcelona/8681
28,"Our stay at Andre Gill was very enjoyable. 

Whilst we had no security issues, the hotel does seem quite open. 

Our Hotel room was clean, however, it could have been cleaner. 

Overall, I would stay there again.

",2084775,8.0,Hotel Andre Gill,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Andre-Gill/Paris/29
29,I would recommend this place to any budget travellers. The owner is very friendly and very accomodating. ,3014067,7.7,Cleopetra Hotel,"Petra, Jordan",http://www.hostelworld.com/hosteldetails.php/Cleopetra-Hotel/Petra/16194
30,"I made a reservation for a FEMALE room before I got there. But, I got a CO-ED room. You said you couldn't guarantee 100%, but just tried to keep a room for reservation. Do you think it make sense????????
We all made a reservation to make sure we have a safe room that we want. That's why we book a room before we get somewhere. If you don't have some kind of rooms that costomers want, why don't you delete it on your website??????????????????????? 
why did you let us choose a room as if there were that kinda a room. 
I reall didn't want to stay with guys, but couldn't help it. Your staffs just repeated that there's no room available at that day. 
I couldn't sleep well cuz of some weird old guy who I stayed with. 


AND!
My friend also stayed in your hostel. She put some noodle which is wrapped by some kinda paper on the luggage.we found that it is torn a little bit upper side of it and it turned out to be a mice. There was definitely trace that a mice tried to eat it.(We found a mark of mice teeth all over the spot of being torn.It can't be like that if it is because of outside shock.A lot of small fragment was all over the luggage inside.)  All people who stayed with us agreeded that that must be a mice. It is a extremely horrible. 
Do you clean up the room????????
I will never recommend ur hostel people around me. such a horrible experience in new york.",3418075,4.7,HI NYC Hostel,"New York, USA",http://www.hostelworld.com/hosteldetails.php/HI-NYC-Hostel/New-York/1850
31,"Hostel was in a great location and the staff could not have been more helpful. The only issue we had was that the showers and toilets were not cleaned every day, and the showers got very dirty by late afternoon!! Otherwise I would recommend the hostel to anyone staying in Rek.",2841635,8.6,Reykjavik Backpackers,"Reykjavik, Iceland",http://www.hostelworld.com/hosteldetails.php/Reykjavik-Backpackers/Reykjavik/34174
32,"The staff at this hostel were not very enthusiastic which made the atmosphere quite flat. They have a lock out between 11am and 2pm which means that you have to leave the hostel between those hours so that staff can tidy up. You also have to pay for luggage 'storage' which means that they will put your bags at the top of the stairs where they say they can keep an eye on them, they are not actually locked away anywhere. Breakfast took an hour to be served even though it was not very busy at all.",2841635,6.9,Hostel Brikette,"Positano, Italy",http://www.hostelworld.com/hosteldetails.php/Hostel-Brikette/Positano/7763
33,No customer comment,4467230,8.3,PangeaPeople Hostel & Hotel,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/PangeaPeople-Hostel-and-Hotel/Berlin/49527
34,No customer comment,3799989,10.0,Castle Rock Hostel,"Edinburgh, Scotland",http://www.hostelworld.com/hosteldetails.php/Castle-Rock-Hostel/Edinburgh/551
35,No customer comment,3799989,9.7,Check Inn HK,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Check-Inn-HK/Hong-Kong/58508
36,"We booked a double bed but were given a twin, apart from that little error everything was good!",3799989,8.0,Citotel Trianon,"Grenoble, France",http://www.hostelworld.com/hosteldetails.php/Citotel-Trianon/Grenoble/46556
37,No customer comment,3799989,10.0,Cassis Hostel,"Cassis, France",http://www.hostelworld.com/hosteldetails.php/Cassis-Hostel/Cassis/49839
38,No customer comment,3799989,10.0,Vertigo Centre,"Marseille, France",http://www.hostelworld.com/hosteldetails.php/Vertigo-Centre/Marseille/20103
39,No customer comment,3799989,8.0,Alloggi Gerotto Calderan,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Alloggi-Gerotto-Calderan/Venice/29848
40,Poor kitchen facilities.,3799989,8.0,Oops! Design Hostel - Latin Quarter,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Oops-Design-Hostel-Latin-Quarter/Paris/22773
41,Lovely free breakfast.,3799989,7.0,Vintage Hostel Gare du Nord,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Vintage-Hostel-Gare-du-Nord/Paris/34761
42,"A little loud at night due to noisy neighbors, but the staff was VERY helpful, and it was quite clean.  The location was great so close to the Metro!",4586787,9.0,Le Montclair Montmartre Hostel & Budget Hotel,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Le-Montclair-Montmartre-Hostel-and-Budget-Hotel/Paris/1399
43,"show us a good room and arrange another worse one later, should be honest no cheating!",1593217,6.7,Wang Fat Hostel,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Wang-Fat-Hostel/Hong-Kong/1168
44,lovely hostel its an old building but very nice.. its not in the centre but close to everything in all directions..easy going atmosphere..n everything u need really. free internet is a bonus.,2540933,7.7,Georgia Parkside Backpackers,"Auckland, New Zealand",http://www.hostelworld.com/hosteldetails.php/Georgia-Parkside-Backpackers/Auckland/24196
45,"Amazing Hostel, staff were really helpful and up for a laugh, would recommend to anyone visiting Budapest.",3226370,10.0,Grandio Party Hostel,"Budapest, Hungary",http://www.hostelworld.com/hosteldetails.php/Grandio-Party-Hostel/Budapest/42307
46,Location is awesome!,2962957,7.7,Yesinn @Fortress Hill,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Yesinn-Fortress-Hill/Hong-Kong/13035
47,"Great location, at the heart of the city: Ximen area and near to MRT station, ard 15 mins work only. The room is small but very clean. Truely recommended.",2962957,8.7,Taipei City Hostel,"Taipei, Taiwan",http://www.hostelworld.com/hosteldetails.php/Taipei-City-Hostel/Taipei/45127
48,"Not near to the train station, but not a problem. Few buses from train station pass by the hostel and even for taxi, only coz abt NT100. The hostel is really fantastic & full of characteristic. The room are clean and considerable big. Just a suggstion to Iris, pls dont put 'å¤§èåå®¶' as the sign to find the hostel. Impossible to find out the sign. Propose other mark for us to find the hostel!... :)",2962957,9.0,Iris' Tower,"Tainan, Taiwan",http://www.hostelworld.com/hosteldetails.php/Iris-Tower/Tainan/44632
49,The hotel is perfect. We like that,2962957,8.7,Milano Tourist Rest,"Anuradhapura, Sri Lanka",http://www.hostelworld.com/hosteldetails.php/Milano-Tourist-Rest/Anuradhapura/37719
50,"Good location & nice guest house, good choice for relaxing backpackers....",2962957,8.7,MD House,"Chiang Mai, Thailand",http://www.hostelworld.com/hosteldetails.php/MD-House/Chiang-Mai/15018
51,"Excellent hostel, perfect location and very clean. Highly recommended.",2962957,9.0,Backpackers BCN,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Backpackers-BCN/Barcelona/28466
52,"The room is very small and because the city raining all the day, I just stayed at the bar beside the hostel doing nothing.",2962957,6.7,Funky Cordoba,"Cordoba, Spain",http://www.hostelworld.com/hosteldetails.php/Funky-Cordoba/Cordoba/24475
53,"Space of room is big enough and the staff were very nice. And also, kind of like the tapas tour provided by the hostel.",2962957,9.0,Oasis Backpackers Hostel Sevilla,"Seville, Spain",http://www.hostelworld.com/hosteldetails.php/Oasis-Backpackers-Hostel-Sevilla/Seville/15162
54,Perfect location and felt very comfort in the hostel. Recommended.,2962957,9.0,Home Lisbon Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Home-Lisbon-Hostel/Lisbon/15529
55,"Great location, near to Victoria station.",2962957,7.3,Astor Victoria,"London, England",http://www.hostelworld.com/hosteldetails.php/Astor-Victoria/London/524
56,"Good location, just 15 min walk from the train station and fantastic TV room!!!",2962957,7.7,Hatters on Newton Street,"Manchester, England",http://www.hostelworld.com/hosteldetails.php/Hatters-on-Newton-Street/Manchester/4861
57,"This is not a hostel, is 3-star hotel! Very reasonable rate in Venice. They give us a big room and is very clean. Located in a lively and relaxing island, Lido.",2962957,8.7,Villa Parco,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Villa-Parco/Venice/11673
58,"The owner, Barbara is really nice. The casa looks nice. Just the room is too small and is not easy to find if you taken the train stopped at Porta Nouva. You have to take the bus twice (first at train station, then castelvecchio), very easy to get lost..... but overall is recommended.",2962957,8.3,B&B A Casa di Barbara,"Verona, Italy",http://www.hostelworld.com/hosteldetails.php/B-and-B-A-Casa-di-Barbara/Verona/25713
59,"The room was very clean and comfortable. The owner family very friendly and helpful eventhough they speak very little English. The drawback is the room just in front of tram stop, so the noise is very loud once they passed thru.... ",2962957,8.7,Hotel Siro,"Milan, Italy",http://www.hostelworld.com/hosteldetails.php/Hotel-Siro/Milan/14736
60,Perfect location and friendly reception. ,2962957,7.7,Bergen YMCA Hostel,"Bergen, Norway",http://www.hostelworld.com/hosteldetails.php/Bergen-YMCA-Hostel/Bergen/5648
61,Good choice for budget traveller.,2962957,8.7,Hostel Turku,"Turku, Finland",http://www.hostelworld.com/hosteldetails.php/Hostel-Turku/Turku/2855
62,"I stayed in 34 dorm bed room, it looks like refugee camp! But in other hand, is very fun, can knew many people from different country. Considerable for budget travellers.",2962957,6.0,City Public Hostel,"Copenhagen, Denmark",http://www.hostelworld.com/hosteldetails.php/City-Public-Hostel/Copenhagen/20448
63,"Near to old town, provide a clean and wide room for traveller and helpful reception, worth it to try. Recommend it.",2962957,8.7,Downtown Backpackers Hostel Bratislava,"Bratislava, Slovakia",http://www.hostelworld.com/hosteldetails.php/Downtown-Backpackers-Hostel-Bratislava/Bratislava/9503
64,"Guesthouse formed by 3 storey house. Rooms were clean and comfort. Adequate location to town center. Unsatisfy with the owner, quite calculated. In average, recommended place for budget traveller. ",2962957,7.3,Littleworld Guesthhouse,"Siem Reap, Cambodia",http://www.hostelworld.com/hosteldetails.php/Littleworld-Guesthhouse/Siem-Reap/15035
65,I stayed second time &#305;n this hostel. Everything was good and friendly. Very suitable price. Excellent!!!,4309662,10.0,Admiral International Hostel Apartment,"Odessa, Ukraine",http://www.hostelworld.com/hosteldetails.php/Admiral-International-Hostel-Apartment/Odessa/20576
66,very nice hostel and kind staff. everything was very well. Thank you for admiral staff.  I will prefer this hostel when I come Odessa again. ,4309662,10.0,Admiral International Hostel Apartment,"Odessa, Ukraine",http://www.hostelworld.com/hosteldetails.php/Admiral-International-Hostel-Apartment/Odessa/20576
67,"Very nice staff and hostel in central area.
Thank you for Nadia and Ivana and others for everything..",4309662,8.7,Retro Hostel Shevchenko,"Lviv, Ukraine",http://www.hostelworld.com/hosteldetails.php/Retro-Hostel-Shevchenko/Lviv/20197
68,"don't come here, the service is poor.",2872997,4.7,Hostel Des Artistes,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/Hostel-Des-Artistes/Rome/742
69,"with coffee shop down
breakfast inclusive from 9 to 12
room and bathroom share very clean",4725965,8.3,Rembrandt Square Hotel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/Rembrandt-Square-Hotel/Amsterdam/11347
70,Excepcionales vistas y en todo el centro historico de la alhambra,4725965,7.0,FunkyHostel,"Granada, Spain",http://www.hostelworld.com/hosteldetails.php/FunkyHostel/Granada/8344
71,"I felt that my belongings were the least secure at this hostel of any which I've stayed.  Tons of young college students to hang out with though.  Pretty loud at night, and there were stains on my bedding.",2962638,6.0,Balmers Hostel,"Interlaken, Switzerland",http://www.hostelworld.com/hosteldetails.php/Balmers-Hostel/Interlaken/715
72,this was a poor excuse of a hostel.  Avoid the zick zack rock hotel at all costs.  my stay was a living nightmare.,1088065,2.0,ZicZac Rock-Hotel,"Zurich, Switzerland",http://www.hostelworld.com/hosteldetails.php/ZicZac-Rock-Hotel/Zurich/3679
73,We were on Sunshine 1.   It's not an hostel for the families.  The breakfast was very poor.   No possibility to pay with credit card.  No emergency exit.  No heating in the room in december.,2421354,5.3,Sunshine Hostel,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/Sunshine-Hostel/Rome/765
74,"The blankets were itchy wool that i was sure harbored scabies (though i seem to be alright) - this would have been fine but there wasn't even a top sheet...  also, the bathrooms were 2 big unisex ones, which was separated from the reception only by a transparent curtain - why?   I found the whole layout stupid b/c they could just have easily made one men's and one women's and added doors, which would have given a little more space to change and such since the dorm was coed.  I guess you get what you pay for... though some hostels seem to be much nicer for the same price.",4366838,5.3,Aivengo Youth Hostel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/Aivengo-Youth-Hostel/Amsterdam/11942
75,"Great place to stay - friendly helpful staff, fantastic location, free sauna and ice skates!",2240289,7.4,City Backpackers Hostel,"Stockholm, Sweden",http://www.hostelworld.com/hosteldetails.php/City-Backpackers-Hostel/Stockholm/1190
76,"Hostel was in excellent location for exploring Barcelona but obvioulsy this meant a lot of noise at night, spanish dont seem to sleep! The common room is literally just a table and a few chairs...and not great for social aspect, other hostels seem to organise pub crawls and things like that so it depends what you are looking for really...also beach is about a 45 minute walk from hostel..not 10 minutes as is mentioned on website...",2240289,6.7,Albergue Internacional Colon,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Albergue-Internacional-Colon/Barcelona/6988
77,"My friend and I had a great time at the hostel. It was very bright and colorful with a very positive atmosphere. The staff were helpful and friendly, and the location couldn't be any better.",2682811,9.3,Castle Rock Hostel,"Edinburgh, Scotland",http://www.hostelworld.com/hosteldetails.php/Castle-Rock-Hostel/Edinburgh/551
78,"Really, really, really good.",1379541,10.0,Nathan's Villa Hostel Warsaw,"Warsaw, Poland",http://www.hostelworld.com/hosteldetails.php/Nathan-s-Villa-Hostel-Warsaw/Warsaw/6697
79,"Pretty basic hostel, but was fine.  ",1379541,7.0,Vilnius Old Town Hostel,"Vilnius, Lithuania",http://www.hostelworld.com/hosteldetails.php/Vilnius-Old-Town-Hostel/Vilnius/14803
80,"Really, really good hostel.",1379541,9.3,The Naughty Squirrel Backpackers Hostel,"Riga, Latvia",http://www.hostelworld.com/hosteldetails.php/The-Naughty-Squirrel-Backpackers-Hostel/Riga/5932
81,"Really, really great hostel.  Only real problem is that smoke from the bar downstairs filters into all the rooms, so you're constantly smelling cigarette smoke.  Which I hate.",1379541,8.0,Riga Old Town Hostel & Backpackers Pub,"Riga, Latvia",http://www.hostelworld.com/hosteldetails.php/Riga-Old-Town-Hostel-and-Backpackers-Pub/Riga/10996
82,"Very clean, nice staff (older folk), relatively close to stuff, but it's basically rooms with beds and bathrooms.  Pretty much no character and unless there's a pack of people staying there (which there wasn't) no fun either.  And there aren't lockers in the room.",1379541,5.0,Sokolska Youth Hostel,"Prague, Czech Republic",http://www.hostelworld.com/hosteldetails.php/Sokolska-Youth-Hostel/Prague/11575
83,"Was there for a week; there were school groups there the entire week, so the place was full of 16 year olds; felt like a school camp the whole time.",1379541,5.7,A&O Berlin Friedrichshain,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/A-and-O-Berlin-Friedrichshain/Berlin/719
84,I hope to return to this outstanding hostel. It was just perfect to fin a beach and walks which lent themselves to quiet beauty and reflection.  ,1986006,10.0,HI Truro,"Truro, USA",http://www.hostelworld.com/hosteldetails.php/HI-Truro/Truro/3503
85,"Sheets are clean, staff is nice and helpful, breakfast is very plains, but dinner has character, fills you up and is cheap...",3085189,6.7,Belsize House,"London, England",http://www.hostelworld.com/hosteldetails.php/Belsize-House/London/4399
86,"Nice and clean. Good breakfast. Nice staff.
Handy location for Narita and Haneda airports.",4031166,8.0,Anne Hostel Asakusabashi,"Tokyo, Japan",http://www.hostelworld.com/hosteldetails.php/Anne-Hostel-Asakusabashi/Tokyo/32652
87,your staff dont give a s*%t. they were all foreiners i met and seemed like they were going to f%^k off in a few weeks and behaved accordingly. Jose was friendly and helpful and an italian speaking girl too. otherwise...the water was cold in the shower....with all the profits get some better water heaters.....south america does a way better job with less maney. lift game,4031166,3.7,Dublin International (YHA),"Dublin, Ireland",http://www.hostelworld.com/hosteldetails.php/Dublin-International-YHA/Dublin/289
88,"We have a wonderful time at here and miss the breakfast! A fine establishment, with clean smelling staff and wonderful amenities. A home away from home!!!",2869049,10.0,HI Niagara Falls,"Niagara Falls, USA",http://www.hostelworld.com/hosteldetails.php/HI-Niagara-Falls/Niagara-Falls/13783
89,"Our stay at Envoy Hostel was great! The staff was incredibly friendly, and always willing to help us out with whatever we needed. Considering the fact that Envoy Hostel is one of the first of its kind in Yerevan, I was very pleasantly surprised as to find that it matched up very well to any good quality european hostel. The facilities are very new, and very clean. The only downside is the fact that they do not sell any cold drinks (alcoholic or otherwise) at the hostel. But that is easily made up for by the supermarket just around the corner. I look forward to returning to Envoy Hostel when I visit Yerevan in the future.",2784672,10.0,Envoy Hostel,"Yerevan, Armenia",http://www.hostelworld.com/hosteldetails.php/Envoy-Hostel/Yerevan/14052
90,"Overall, it was a great place to stay. The staff was friendly, and really made an effort to make sure we found our way around. The location was probably the only bad thing about it, because we constantly had to buy metro passes to get into the city.",2784672,8.7,Hotel 4 Youth SchÃ¶nhauser Allee,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/Hotel-4-Youth-Schonhauser-Allee/Berlin/12295
91,cool place but it had bed bugs as most hostels do.,4302989,7.3,Mingtown Etour International Youth Hostel,"Shanghai, China",http://www.hostelworld.com/hosteldetails.php/Mingtown-Etour-International-Youth-Hostel/Shanghai/12164
92,very dirty--staff didnt even change sheets upon our arrival. it was so hot outside but the stairs leading up to the rooms had a heater underneath it--horrible aricitectural design. they had painters in the halls at all hours of the day making the place smell toxic. they were scraping the walls so we were breating in the toxic fumes. not to mention the construction that began at 9am every morning. all of this would have been okay with some warning and discount--but none of this was mentioned to us and we received no discount. the layout of the hostel is horrible because the upstairs bathrooms feel like furnaces because the whole roof is glass letting in all of the hot summer heat while you are trying to go to the bathroom or brush your teeth--it is disgusting. i would suggest staying somewhere else because this place just might piss you off!!,4302989,3.3,Hangzhou International Youth Hostel,"Hangzhou, China",http://www.hostelworld.com/hosteldetails.php/Hangzhou-International-Youth-Hostel/Hangzhou/7740
93,"good hangout room but the staff and their family would dominate the room at night time which sucked cause thats when everyone wants to watch movies. the room i stayed in leaked water from the ceiling and the paint fell down. the bathrooms are bearable and the showers are mildewy--but good news, they are moving locations at the end of august and the new hostel looks very nice so i am sure this hostel will improve leaps and bounds by the time they move.",4302989,6.3,Dragon Town Sichuan-Style Guest House,"Chengdu, China",http://www.hostelworld.com/hosteldetails.php/Dragon-Town-Sichuan-Style-Guest-House/Chengdu/2912
94,"If you want a place where everything is ok, go to Jhomana. It is not a party hostel, but it is good",4847639,9.3,Jhomana Guesthouse,"Quito, Ecuador",http://www.hostelworld.com/hosteldetails.php/Jhomana-Guesthouse/Quito/6994
95,"Very good spot - as someone said, it takes the s out of hostel!! Well organised and ideally placed! Deserves its title of best hostel in Ireland :)",3887412,9.3,Sleepzone,"Galway, Ireland",http://www.hostelworld.com/hosteldetails.php/Sleepzone/Galway/408
96,"A very good Hostel run by friendly and welcoming staff with very reasonably priced, clean simple rooms. The location is good and the inclusion of a bar/restaurant/cafe means that you always have somewhere you can eat or have a few drinks. An excellent choise for first time visitors to Berlin.",3156004,7.7,Schlafmeile Hostel,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/Schlafmeile-Hostel/Berlin/14552
97,"There have a really nice livingroom and kitchen, semms that is new renovated. But the rooms and Bathroms are old... But it is well located, the staff is friendly.",1658982,8.3,Adelaide Hostel and Hotel,"San Francisco, USA",http://www.hostelworld.com/hosteldetails.php/Adelaide-Hostel-and-Hotel/San-Francisco/1832
98,"Hostel was very basic. I was placed in a 14 dorm room even though I booked a 6 dorm room. There were no functioning bathrooms on my level so I had to go downstairs to use the bathrooms. The showers were horrible (tiny, flimsy curtain, water went everywhere except where you'd want it to go). Breakfast is VERY simple (I wouldn't even bother with it). It was advertised that there were lockers but there were none in the 14 dorm room. Watch out for the mosquitoes.",3658063,5.0,Zebra Hostel,"Milan, Italy",http://www.hostelworld.com/hosteldetails.php/Zebra-Hostel/Milan/41578
99,"Staff is rude, unfriendly, and will take your money if you do not ask for your change. There is no breakfast included as stated and the internet does not work.",4498926,5.3,Farmhouse Saint Thorn House,"Palermo, Italy",http://www.hostelworld.com/hosteldetails.php/Farmhouse-Saint-Thorn-House/Palermo/12197
